Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
Baid Finserv,511724,BAIDFIN,Finance & Investments,18.29,16.72,24.42,1.08,34.8,1.45,1.08,-59.55,15.15,-0.2,10.57,11.21,62.53,12.92,65.97,6.93,2.54,24.47,19.72,5.88,18.4,28.9,6.97,7.08,8.03,-53.64,64.09,22.61,3.37,18.37,55.73,12.74,31.99,12.92,24.54,9.43,-25.06,5.18,0.42,13.82,10.57,11.16,0.55,17.76,108.27,19.42,1.32,-26.55
Bajaj Auto,532977,BAJAJ-AUTO,Automobiles - Scooters And 3 - Wheelers,9534.1,34.47,171.94,276.1,55.05,0.07,2011.43,17.99,11554.95,29.41,27.84,33.53,19.53,7722.32,44870.43,17.38,8.13,27.2,16.74,10.67,9.53,8.73,21.81,22.01,26.48,94.65,33.63,28.59,20.74,23.08,36455.38,10.9,6464.64,7708.24,8.34,5856.19,5847.47,4304.12,-692.07,13831.12,27.84,27.7,0.84,16032.79,23003.11,29817.81,9.19,30.62
Bajaj Consumer,533229,BAJAJCON,Personal Care - Indian,271.7,24.97,47.75,10.88,39.3,0.01,35.58,-12.06,239.96,-3.79,23.43,23.2,15.78,155.43,984.12,2.2,1.39,12.3,-11.17,-7.28,-4.95,-0.65,23.69,19.29,19.19,41.03,-2.89,-3.04,16.29,2.42,960.87,3.07,141.21,155.43,4,173.33,111.51,95.4,2.44,324.99,23.43,29.39,1.84,346.33,762.49,1118.97,4.67,19.27
Bajaj Electrical,500031,BAJAJELEC,Domestic Appliances,1094.45,92.81,92.17,11.44,62.8,0.15,29.31,-44.7,1188.08,-8.04,14.59,12.72,5.6,135.88,4641.27,0.5,-6.96,-39.88,-4.8,-4.07,3.51,38.79,8.27,9.57,7.99,-3.76,4.68,21.03,3.18,-14.33,5417.71,1.25,357.53,131.79,1.49,131.55,223.06,375.23,222.12,1486.12,14.59,12.7,0.27,1735.31,3022.39,2317.6,8.75,3.3
Bajaj Finance,500034,BAJFINANCE,Finance & Investments,7068.05,30.26,24.42,233.46,54.69,3.84,3824.53,21.11,14926.21,31.35,11.32,11.93,70.71,14460.49,54971.56,27.26,24.35,25.55,48.4,29.35,34.28,,19.83,21.34,22.12,-6.18,4.83,15.42,4.44,32.75,41411.21,27.62,28718.46,14451.17,,8542.94,-73759.03,-42970.3,-1830.69,-154434.26,11.32,11.06,0.51,-151961.83,-177180.8,-226807.92,5.73,-7.85
Bajaj Finserv,532978,BAJAJFINSV,Finance & Investments,1581.6,31.01,24.42,51.07,60.69,4.79,4084.93,19.76,32040.84,35.62,11.03,11.72,37.04,8152.51,110382.29,22.13,20.97,27.04,22.15,20.42,20.1,18.1,13.77,14.19,15.28,-1.01,7.15,15.65,3.31,34.49,82071.7,23.99,29867.73,15595.36,33.76,5393.26,-69986.26,-40602.61,-2408.69,-145008.8,11.03,10.98,0.06,-141823.73,-160645.36,-207301.89,4.18,-5.25
Bajaj Healthcare,539872,BAJAJHCARE,Pharmaceuticals - Indian - Bulk Drugs & Formln,392,37.85,36.02,-30.36,67.73,1.2,-29.92,10.58,133.9,-13.11,13.36,8.22,16.11,28.65,473.42,-10.35,5.04,-33.37,-29.88,11.78,20.32,30.7,18.81,14.83,8.87,20.85,-9.16,29.54,3.44,-29.69,673.29,10.82,106.96,-83.79,8.73,50.27,73.25,-115.38,15.75,-115.63,13.36,18.77,0.27,70.66,134.79,176.57,3.96,1.1
Bajaj Hindusthan,500032,BAJAJHIND,Sugar,42.33,,16,-0.68,24.95,0.86,90.56,-30.82,1870.27,-8.94,0.52,0.8,4.08,-84.71,6104.32,-2.89,-2.15,37.21,19.66,6.62,1.07,6.89,-5.36,-4.75,-1.9,153.47,22.28,42.32,-0.54,-3.69,6338.03,4.79,262.87,-86.92,-0.85,-164.93,635.43,786.27,-28.56,2034.46,0.52,0.81,0,2055.22,3297.19,5368.13,1.21,51.18
Bajaj Holdings,500490,BAJAJHLDNG,Finance & Investments,9848,15.09,24.42,652.98,51.46,0,2716.17,100.79,1211.84,1297.9,10.53,13.07,76.27,7267.21,591,8.93,6.5,49.82,25.81,18.98,16.65,13.84,11.85,12.18,14.77,37.22,37.78,22.66,12.45,13.29,521.66,-4.94,379.61,7364.91,3.4,4563.05,1940.81,1725.76,3.9,5274.9,10.53,10.52,1.33,5278.42,7469.91,9728.65,2.02,22.47
Bajaj Steel Inds,507944,,Engineering,1610,14.19,44.94,113.5,48.39,0.19,22.55,57.25,173.89,43.54,25.64,23.66,14.61,59.02,550.96,2.58,7.93,-1.04,-2.55,33.9,35.03,18.88,25.3,21.2,19.49,30.55,3.99,73.84,11.7,3.36,533.06,12.78,91.27,59.02,2.94,48.58,-13.64,-12.44,-47.47,4,25.64,29.68,0.19,136.96,267.05,287.09,2.52,24.08
