Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Industry PE,EPS,Promoter holding,Debt to equity,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,ROCE3yr avg,Return on capital employed,OPM,Profit after tax,Sales,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Profit growth 7Years,Profit growth 10Years,Average return on equity 5Years,Average return on equity 3Years,Return on equity,Return over 1year,Return over 3years,Return over 5years,Return on assets,Sales growth,Sales preceding year,Sales growth 7Years,Operating profit preceding year,Net Profit last year,Sales growth 10Years,Average Earnings 5Year,Free cash flow last year,Free cash flow preceding year,Net cash flow preceding year,Free cash flow 3years,Average return on capital employed 3Years,Average return on capital employed 5Years,Dividend yield,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Price to book value,Return over 6months
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,229,14.02,23.01,15.89,44.95,0.34,13.66,46.67,212.34,22.54,20.14,21.7,13.59,57.38,777.49,17.15,10.14,37.2,35.2,17.97,20.05,48.68,14.98,16.11,17.75,145.07,55.17,44.5,10.35,10.8,701.69,10.27,85.79,56.16,9.05,36.19,34.82,51.74,7.55,98.43,20.14,18.86,0.55,152.96,249.75,363.66,2.29,28.84
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,39.37,,38.53,-17.63,0,0.29,-99.08,-104.23,197.04,3.45,-2.13,-6.65,-1.65,-73.56,813.88,10.17,-6.22,-2543.85,,,,6.05,-0.83,-5.9,-15.71,19.3,58.97,67.91,-8.99,11.63,729.11,-2.95,-36.88,-298.27,-4.63,-4.67,62.05,-29.17,-67.15,-26.96,-2.13,-1.02,0,81.24,328.85,558.62,2.27,-24.36
3M India,523395,3MINDIA,Diversified - Large,40020.6,84.01,25.12,476.05,75,0.01,161.24,30.8,1032.72,4.69,24.53,33.08,17.98,536.27,3926.76,17.5,6.93,28.95,53.53,10.67,12.12,28.59,14.61,18.08,24.84,43.85,17.81,13,16.99,5.18,3733.44,7.53,559.79,536.27,8.47,316.87,552.85,365.15,-574.56,1183.71,24.53,19.83,0.4,1341.7,1872.08,2168.82,19.02,17.37
7Seas Enter.,540874,,Computers - Software - Medium / Small,69.8,135.67,38.53,0.51,37.46,0.04,0.21,162.5,3.17,193.52,12.58,18.36,13.91,0.96,11.79,738.48,125.99,123.26,-18.6,15.83,-1.41,8.49,,,20.69,192.29,74.79,52.37,13.61,113.59,5.52,8.34,0.57,0.96,21.16,0.33,-9.36,-1.33,-1.29,-13.39,12.58,-100.56,0,-9.53,-9.55,-9.54,12.81,142.45
A B B,500002,ABB,Electric Equipment,8591,124.48,61.85,68.73,75,0.01,459.29,87.46,3080.36,27.75,23.27,30.69,15.92,1462.61,11115.67,21.52,9.32,68.72,92.69,19.98,19.52,21.4,14.06,17.76,22.92,96.61,71.16,45.14,12.28,23.37,8567.53,2.75,967.71,1242.05,3.07,592.76,1168.4,594.04,2427.77,2276.79,23.27,18.23,0.28,2743.61,3728.7,5145.82,30.62,76.34
A.K.Capital Serv,530499,,Finance & Investments,1086,7.82,24.42,138.95,71.5,3,30.21,22.05,146.73,26.2,8.91,9.46,62.97,91.71,518.54,21.69,4.23,4.66,7.22,5.09,6.91,10,10.6,10.89,10.43,109.39,31.07,29.26,2.67,27.56,406.51,6.4,256.09,92.52,7.91,77.35,339.32,38.54,-8.48,255.09,8.91,9.13,1.47,265.96,1141.09,1511.45,0.78,38.88
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,21.07,,40.94,-0.32,28.14,6.15,-0.46,53.34,97.97,8,-11.33,-19.96,-22.8,-46.39,388.49,-2.17,-14.87,-399.03,12.55,,8.49,6.14,-33.02,-54.06,-132.12,194.69,51.58,15.06,-7.17,11.18,349.44,-12.58,1.45,-7.36,-5.7,-86.3,84.67,52.91,1.52,190.45,-11.33,-7.5,0,191.71,158.58,277.35,11.53,44.81
Aadi Industries,530027,,Plastics Products,6.2,,35.96,-0.09,24.86,,0.08,500,0,,-52.89,-40.82,,-0.09,0,,,50,5.73,10.2,4.92,7.15,,,,67.57,,,-28.57,,0,,-0.23,-0.09,,0.1,0.09,-0.08,-0.03,-0.37,-52.89,-45.64,0,-0.35,-0.41,3,,-14.01
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49,26.38,32.91,1.84,45.28,0.24,2.15,497.22,210.35,29.14,6.96,4.44,1.13,4.68,395.62,4.33,2.22,24.14,-10.42,-6.47,-2.2,16.12,5.24,4.4,3.78,47.67,10.05,21.13,1.57,-5.56,418.9,-0.01,7.72,4.68,7.07,5.46,-3.3,-2.32,0.51,-7.32,6.96,7.84,0,-3.36,4.98,-14.68,0.94,-18.13
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,546.3,29.27,32.91,18.65,57.13,0.44,47.31,-15.65,619.99,-16.49,16.96,14.75,12.52,171.42,2528.58,5.48,10.13,3.07,-15.11,14.47,11.43,,20.42,16.32,13.86,17.41,-8.88,33.49,7.07,-6.9,2716.05,11.3,309.46,171.59,,192.2,132.77,-30.47,-13.23,20.76,16.96,21.2,0.18,563.53,969.22,1182.08,3.92,5.42
Aarti Industries,524208,AARTIIND,Chemicals,705.3,61.41,42.14,11.48,43.43,0.61,132,-11.41,1773,7.07,13.24,7.41,15.3,416,6372,12.24,8.86,-23.68,-7.36,-3.24,4.04,10.34,16.09,15.52,8.15,55.32,-3.08,13.93,4.57,-3.73,6618.58,10.52,1088.97,416,9.3,639.78,-100,-16.5,27.17,-762.85,13.24,13.63,0.35,3032.45,5007.22,6078.32,4.83,13.76
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,30.95,,28.02,-19.02,65.8,16.14,-6.46,58.16,24,-51.92,-8.72,-9.65,-36.85,-44.62,84.73,-31.62,-35.37,33.22,10.02,,,,-35.76,-55.22,-113.54,50.98,13.26,10.84,-9.24,-67.52,260.9,-28,-28.16,-44.62,-18.86,-52.32,109.93,52.53,-9.7,221.36,-8.72,-6.69,0,162.1,272.1,360.44,4.22,0
AAVAS Financiers,541988,AAVAS,Finance - Housing,1800.4,29.02,21.93,62,26.47,3.29,142.62,12.52,546.02,21.47,9.64,9.91,73.49,490.69,2017.5,22.29,23.23,14.15,19.24,22.77,35.96,54.48,13.57,13.94,13.93,16.28,-14.71,3.48,3.28,25.44,1608.3,30.98,1166.93,490.69,43.55,363.18,-2017.99,-1948.64,134.36,-5117.78,9.64,9.81,0,-5032.7,-7275.66,-9484.65,3.78,13.83
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,68.25,,20.1,-225.79,46,,-340.14,10.13,137.47,88.44,0,,-38.64,-1317.84,399.67,-27.97,-13.97,-11.29,10.33,11.84,-4.11,,,,,67.28,16.38,12.63,-80.97,0.74,396.73,-19.07,-131.1,-1317.84,-20.45,-3142.23,-88.78,1525.56,60.6,1205.14,0,-174.22,0,-375.57,-672.69,701.54,,13.75
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28336.85,50.18,44.6,565.3,74.99,0.02,287.06,24.04,1438.63,7.11,41.84,46.03,24.84,1201.22,5848.91,10.71,9.72,26.5,20.25,22.02,23.33,20.21,30.47,32.2,34.88,20.73,17.99,26.02,24.64,9.35,5348.73,10.53,1205.89,1201.22,9.9,846.75,1164.68,859.76,106.96,2928.26,41.84,39.19,1.45,3053.86,4406.71,5058.54,16.28,11.83
ABC Gas (Int.),513119,,Trading,96.15,,34.42,1.06,1.21,0,0.63,56.1,0,,-20.8,-13.53,-5300,-0.57,0.01,-71.23,-58.05,-470,-16.84,,,,-22.13,-23.72,-14.79,148.32,111.66,50.41,-13.12,-50,0.02,-57.43,-0.15,0.21,-42.78,-0.52,3.34,-0.61,-0.03,3.86,-20.8,-16.77,0,-1.81,-2.08,-2.25,4.81,74.98
ABC India,520123,,Miscellaneous,111.5,27.45,40.42,4.21,64.69,0.46,0.16,-84.38,39.67,7.22,8.37,8.1,3.55,2.2,164.59,-0.53,-1.44,-9.47,-3.79,-15.38,13,8.02,7.62,6.21,5.07,30.2,8.71,15.93,2.36,13.38,145.17,3.51,4.93,2.28,0.12,2.82,1.21,4.21,1.15,5.85,8.37,10.69,0.45,5.01,22.06,34.48,1.34,-13.23
Abhinav Capital,532057,,Finance & Investments,200,14.96,24.42,13.37,71.48,0.49,0.82,-48.75,2.31,-1.28,18.21,16.26,93,9.26,15.29,67.56,31.02,-4.34,93.4,28.82,16.34,68.56,11.77,14.65,13.47,104.5,81.05,21.34,9.87,16.45,13.13,19.48,12.54,9.26,47.67,5.19,35.02,9.31,9.63,29.78,18.21,13.07,0,29.78,44.14,36.68,1.8,40.35
Abirami Fin.,511756,,Finance & Investments,65.82,24.51,24.42,2.69,65.65,0,0.25,525,0,,42.1,5.12,,1.45,0,,,-90.07,141.49,135.54,57.62,19.71,26.37,35.76,6.75,84.99,151.25,53.12,6.11,,0,,-1.23,1.45,,3.18,-0.48,16.29,16.05,15.7,42.1,25.49,3.04,-5.26,-5.09,-3.42,1.72,88.11
ABM Knowledge,531161,,Computers - Software - Medium / Small,147,19.76,38.53,7.44,66.93,0,5.84,85.99,23.1,46.2,9.15,8.86,17.62,14.88,78.65,2.21,7.4,15.53,-8.76,-1.17,-2.94,0.27,8.12,6.94,6.89,50,1.21,22.66,6.04,19.8,65.65,-2.67,13.34,14.88,-0.29,15.5,3.14,3.28,-13.43,9.18,9.15,10.85,0.85,10.62,35.24,70.7,1.32,6.52
ACC,500410,ACC,Cement - North India,2685.8,23.38,30.09,124.42,56.69,0.02,944.84,158.23,5408.72,12.9,15.28,17.27,15.34,2156.1,19958.92,13.13,6.16,130.83,11.85,7.24,18.13,7.33,11.94,11.62,14.15,49.65,9.65,11.62,9.82,-10.14,22210.18,8.9,1924.93,2336.53,6.08,1578.88,1646.16,-3216.05,-7109.96,112.26,15.28,16.16,0.28,4595.52,9069.42,11741.41,3.09,15.68
Accel,517494,,Computers - Software - Medium / Small,22.75,36.08,38.53,0.6,71.62,1.13,0.86,269.12,49.87,1.16,9,8.99,10.18,3.63,167.09,33.13,89.99,26.04,39.74,23.7,16.41,,0.51,5.47,5.67,14.61,12.57,27.55,1.95,6.67,156.64,61.42,18.23,3.29,,0.36,14.66,9.31,1.28,25.45,9,3.83,1.32,41.4,45.66,32.63,2.01,-23.06
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1797.05,23,38.53,63.49,74.66,0.04,0.2,-21.29,130.99,9.65,38.52,56.12,38.41,116.46,505.53,4.44,4.18,4.64,10.82,5.74,5.13,3.41,36.75,31.12,44.25,39.87,8.73,16.27,32.54,12.35,368.4,4.67,134.24,126.72,4.44,85.88,127.53,100.84,-17.86,296.52,38.52,50.56,3.62,338.38,556.23,760.14,9.28,15.12
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,,92.38,-0.17,5.01,0,-0.02,-100,0,,-2.32,-1.13,,-0.16,0,,,20,14.47,11.02,8.05,,-3.53,-2.94,-1.81,25.78,46.22,8.51,-1.25,,0,,-0.07,-0.16,,-0.33,0.02,-0.05,-0.05,0.01,-2.32,-2.78,0,0.01,0,-0.02,0.34,53.33
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,274.35,35.47,38.53,7.73,74.96,0.06,1.82,776.19,17.75,814.95,5.79,21.01,2.45,4.95,23.72,38.91,24.28,2993.75,111.68,52.86,25.31,23.29,1.57,6.65,19.78,1306.92,145.24,68.08,17.66,129.84,10.32,15.93,0.44,5.35,17.57,0.33,-3.8,2.46,-0.24,2.23,5.79,0.08,0,-1.52,-6.28,-8.36,5.84,441.66
ACI Infocom,517356,,Computers - Software - Medium / Small,2.66,326.53,38.53,0.01,22.88,0,0.14,600,0.27,92.86,0.73,1.07,19.35,0.09,0.93,164.95,-25.27,-10,-20.63,55.18,-11.4,-4.98,0.46,0.46,0.53,212.94,44.04,69.52,0.53,,0,-32.14,-0.39,0.09,,0.08,4.29,-2.61,0,2.36,0.73,0.72,0,2.37,5.11,5.63,1.74,44.57
Acknit Indus.,530043,,Textiles - Products,312,11.09,31.77,28.13,50.34,0.74,3.07,35.84,68.45,29.2,11.88,11.04,7.65,8.55,220.66,8.7,5.13,-5.63,13.42,12.71,15.23,13.27,11.85,12.56,11.46,40.89,31.79,30.32,5.93,-7.47,238.47,4.81,18.55,8.55,5.09,7.04,-12.95,22.41,0.07,-4.53,11.88,11.56,0.48,9.25,42.41,51.2,1.2,18.65
Acrow India,513149,,Diversified - Medium / Small,795,49.88,38.35,15.94,54.63,0,0.19,195,0,,-0.98,2.68,,1.02,0,,,409.09,68.18,33.56,26.51,13.73,-0.65,-0.21,4.48,-11.86,77.11,43.37,4.42,,0,,-0.83,1.02,,-0.14,-0.63,-1.1,-7.15,-0.74,-0.98,-1.24,0,-2.43,-3.72,-4.6,2.19,-3.64
Action Const.Eq.,532762,ACE,Engineering,1464.2,53.13,44.94,27.56,66.76,0,98.45,108.78,835.84,36.17,29.97,42.25,13.84,328.16,2913.8,33.41,16.76,108.97,62.97,42.56,57.73,59.71,20.66,23.14,30.55,141.4,86.6,75.5,17.42,34.92,2159.68,21.37,220.92,328.2,16.81,143.49,268.15,237.89,15.76,565.26,29.97,25.36,0.07,811.23,945.27,1106.7,14.18,62.35
AD Manum Finance,511359,,Finance & Investments,75.7,7.37,24.42,10.27,74.45,0.11,4.09,1414.81,4.68,457.14,10.44,15.67,88.4,7.7,11.03,5.44,2.04,59.09,36.16,48.28,37.23,3.04,8.05,8.23,11.58,63.22,46.65,37.5,10.24,20.02,9.19,-2.96,7.22,7.7,-8.01,4.54,1.41,-0.19,-2.65,-1.12,10.44,9.44,0,-2.77,18.62,17.29,0.8,78.45
Adani Enterp.,512599,ADANIENT,Trading,3110.75,101.07,34.42,28.42,72.61,1.67,352.25,-41.62,29180.02,0.82,8.68,9.87,11.8,3510.12,96420.98,34.6,19.02,31.75,48.28,42.77,21.24,5.02,7.64,8.33,9.73,29.06,29.53,85.66,2.39,-24.4,127539.5,14.87,8817.69,3335.27,5.78,1777.2,-11934.07,2971.66,970.1,-19222.74,8.68,8.58,0.04,29323.93,35820.8,41999.11,9.08,0.97
Adani Ports,532921,ADANIPORTS,Miscellaneous,1478,36,35.95,37.55,65.89,0.94,2014.77,2.53,6896.5,18.97,11.14,12.93,58.36,8865.88,26710.56,28.63,19.58,40.94,21.06,17,12.56,18.21,16.07,15.82,18.06,105.25,26.59,29.05,7.72,28.1,20851.91,17.89,10947.13,8103.99,18.65,5840.42,7627.99,2962.25,-7550.23,17364.59,11.14,11.77,0.41,37337.22,52294.81,63932.35,6.05,22.86
Adani Power,533096,ADANIPOWER,Power Generation And Supply,724.95,13.42,40.21,54,71.75,0.8,2737.24,-47.79,13363.69,30.48,21.39,32.25,36.2,20832.79,50351.25,24.29,16.09,93.52,153.37,88.46,42.5,59.76,39.21,47.81,57.06,199.5,87.74,63.16,23.43,29.86,38773.3,12.11,10096.34,20828.79,12.63,7321.02,11568.26,5187.68,-433.14,23555.36,21.39,16.57,0,32833.41,45445.31,56156.84,6.48,34.21
Adani Wilmar,543458,AWL,Solvent Extraction,338.3,278.14,22.6,1.14,87.87,0.32,156.75,67.45,13238.04,-4.57,14.64,9.7,2.21,158.12,51261.63,11.39,12.22,-72.93,-39.91,-15.88,,,10.19,7.16,1.92,-15.32,,,0.78,-11.9,58184.81,,961.57,147.98,,547.14,-641.21,-10.77,267.76,11.26,14.64,18.28,0,2150.08,3657.85,,5.31,-8.14
Adarsh Plant,526711,,Packaging,36.39,73.61,27.95,0.49,70.63,3.1,0.23,283.33,5.46,31.25,7.15,11.7,4.08,0.49,18.65,13.87,12.52,250,30.59,20.16,29.55,12.32,23.97,25.26,40.33,89.73,88.88,63.76,5.84,8.43,17.2,8.33,0.4,0.49,9.05,0.19,0.48,0.9,0.04,2.07,7.15,6.22,0,2.42,2.34,2.12,24.7,33.1
ADC India,523411,,Telecommunications - Equipment,2167.15,48.18,88.66,44.98,72.02,0,6.94,926.19,44.11,27.78,30.49,45.23,14.58,20.69,178.74,44,15.86,153.24,79.12,28.7,27.01,19.97,18.64,23.47,33.69,180.65,103.24,60.37,22.72,25.07,142.91,17.01,10.25,20.69,13.93,8.95,19.43,-4.24,-9.94,23.2,30.49,23.49,0.23,23.2,31.06,36.35,14.07,115.78
Addi Industries,507852,,Textiles - Products,49.51,11.45,31.77,4.33,74.27,0,2.21,190.79,0,,3.68,8.38,,4.67,0,,,97.05,61.44,57.38,,26.31,3.06,3.5,6.17,58.99,71.47,43.99,6.12,,0,,-0.88,4.67,,1.33,-8.86,13.15,-0.04,38.96,3.68,0.96,2.52,-20.98,-10.08,-11.75,0.69,-4.48
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,231.61,34.52,39.71,6.85,36.42,0.02,25.04,55.62,153.63,24.79,19.58,21.69,20.17,73.79,520.33,12.05,17.59,37.75,14.2,23.49,26.04,33.03,17.62,15.9,17.15,13.3,7.59,32.59,13.71,15.56,450.28,14.57,80.84,73.79,9.62,53.57,54.53,23.97,-14.36,78.11,19.58,22.98,0.52,154.45,221.02,264.91,5.77,15.72
Adinath Exim Res,532056,,Finance & Investments,25.5,19.66,24.42,1.3,62.04,0,0.15,-57.14,0.26,4,4.29,4.04,71.84,0.56,1.03,5.39,9.64,-17.65,5.27,8.06,8.82,14.87,2.94,3.13,3.05,50,24.26,20.66,2.96,3,1,10.56,0.68,0.56,13.13,0.49,-0.11,0.53,-0.36,0.37,4.29,4,0,0.37,-5.34,-4.48,0.57,-27.02
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,161.31,17.18,18.61,9.37,73.53,8.6,16.46,123.34,114.06,73.05,11.14,12.61,43.04,53,394.57,27.04,18.13,55.97,49.79,39.67,36.22,24.74,39.68,39.16,38.99,165.09,30.58,29.7,3.05,47.91,266.76,17.88,92.1,52.97,19.03,28.16,-452.06,-83.94,25.78,-821.72,11.14,11.79,0,-804.34,-702.72,-1018.72,5.6,27.82
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,322.1,,98.8,-6.18,51.85,2.34,-266.35,-22.8,3406.65,18.3,2.87,0.4,10.38,-628.02,13995.86,38.67,11.51,-913.63,2.26,,,,-13.76,-9.25,-18.2,49.78,14.78,10.17,-3.75,12.71,12417.9,,1557.4,-735.91,,-332.52,600.27,-34.58,574.47,1197.74,2.87,2.57,0,2928.11,4675.95,,8.11,37.68
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,230.13,17.96,24.42,12.83,68.96,4.11,1288.11,104.62,10939.96,36.32,9.78,9.95,34.88,3334.98,34505.54,21.45,17.87,-30.46,44.49,32.67,30.05,,14.66,17.46,14.15,24.83,25.74,20.73,1.67,14.4,30163.15,28.76,10191.31,3438.89,,2353.76,-24498.67,-24268.34,-318.06,-54013.66,9.78,9.18,0,-53198.6,-48863.66,-71013.17,2.23,27.9
Aditya Ispat,513513,,Steel - Medium / Small,11.11,,28.92,-4.32,24.32,3.92,-2.33,-1470.59,18.84,-2.53,4.52,0.72,1.85,-2.31,62.01,7.65,9.38,-925,,,,,-2,-5.4,-23.91,26.25,3.57,18.77,-4.72,16.28,53.33,8.62,4.48,-2.31,7.85,-0.2,5.76,2.2,0.08,1.44,4.52,4.97,0,5.08,10.67,14.83,0.7,2.87
Ador Fontech,530431,,Electrodes - Welding Equipment,141.5,20.86,28.95,6.78,39.23,0,7.49,28.69,55.84,-3.02,23.6,24.37,13.11,23.74,210.13,12.01,2.42,37.62,33.54,17.23,18.68,7.01,14.06,16.82,18.34,22.19,31.13,22.17,15.11,-1.91,214.23,5.28,27.6,23.74,4.14,16.18,18.08,14.8,1.98,50.42,23.6,19.91,4.24,57.06,85.87,93.87,3.74,-8.15
Ador Multi Prod.,523120,,Personal Care - Indian,33.95,,47.75,-8.6,38.55,0,1.98,60.42,0.82,-68.58,-48.44,-37.64,-55.42,-3.72,6.73,-29.66,-1.56,59.17,,,,,-36.68,-40.99,-28.33,-29.74,-26.25,-3.7,-27.54,-44.7,12.17,0.09,-8.52,-4.02,,-4.81,-0.52,-6.87,-6.2,-17.49,-48.44,-37.88,0,-15.92,-26.66,-30.74,1.44,-14.76
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1412.35,30.5,28.95,46.47,56.9,0.12,18.67,-15.41,246.7,4.76,23.67,24.22,10.33,62.88,883.83,25.49,11.53,5.17,60.28,21.34,19.44,22.33,14.38,17.79,18.34,12.88,29.04,33.76,12.93,13.78,776.76,10.43,88.65,63.19,9.15,40.4,-6.09,0.15,-0.66,21.65,23.67,17.87,1.31,74.56,166.53,192.62,5.3,-8.78
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,18.67,13.53,38.53,0.55,38.45,0.1,1.83,198.39,7.71,69.82,15.08,13.04,18.79,3,24.86,59.04,9.61,-20.63,29.23,37.49,-20.98,36.22,12.36,15.91,10.87,49.12,27.73,20.76,7.32,10.73,22.45,-10.24,5.52,3,90.26,1.84,-2.27,-7.66,1.1,-10.35,15.08,13.01,0,4.87,3.11,15.94,2.86,1.19
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,46,37.68,17.7,0.34,75,1.53,0.05,-60.87,0,-100,1.34,4.63,,0.76,0,,,2433.33,58.06,16.91,15.33,16.32,-2.01,1.92,2.65,66.97,,,1.03,-100,2.31,,-0.37,0.21,,-0.61,-0.8,0.83,0.43,0.36,1.34,-0.48,0,0.36,-3.37,-1.72,1.08,2.22
Advanced Enzyme,540025,ADVENZYMES,Pharmaceuticals - Indian - Bulk Drugs & Formln,392.15,30.48,36.02,11.92,43.49,0.04,29.87,8.23,157.82,13.78,14.18,15.16,33.02,143.81,623.87,7.53,8.26,34.14,-0.37,5.27,6.67,21.73,12.55,10.65,11.24,37.66,-1.11,19.63,10.08,15.39,540.64,9.57,158.36,136.96,10.08,128.91,94.22,102.43,-170.94,292.06,14.18,17.33,1.29,404.02,707.89,952.44,3.38,5.91
Advani Hotels.,523269,ADVANIHOTR,Hotels,70.97,25.91,47.37,2.7,50.25,0.02,10.59,-3.11,32.57,7,44.48,48.61,32.16,24.96,105.42,56.56,8.45,-12.33,100,17.03,15.82,26.28,25.17,35.23,37.08,53.28,28.2,20.16,26.28,6.87,98.64,8.48,39.16,24.96,10.24,13.41,25.17,23.57,2.03,61.34,44.48,29.84,3.38,68.23,84.01,110.81,9.13,22.68
Aegis Logistics,500003,AEGISLOG,Trading,937.1,58.6,34.42,16.22,58.1,0.68,237.29,39.35,1837.17,-14.73,15.82,14.74,13.1,561.78,7045.92,22.39,4.64,23.61,35.99,20.47,24.79,24.82,14.21,15.92,15.13,159.69,35.75,34.44,8.85,-18.33,8627.21,8.7,671.99,672.21,3.43,339.4,41.96,-179.48,738.31,-250.62,15.82,15.05,0.69,1293.99,1881.85,2629.61,8.45,156.35
Aeonx Digital,524594,,Trading,137,33.17,34.42,5.93,54.76,0.02,2.75,-13.71,10.08,29.73,4.73,6.61,2.07,1.9,34.31,19.67,-27.52,-8.21,-17.63,21.67,-7.82,,-1.13,3.91,4.17,44.97,9.34,34.96,3.31,23.77,27.72,-19.8,-0.55,2.73,,-0.47,-0.32,0.06,4.61,-0.4,4.73,0.15,0.73,-2.42,2.77,7.76,1.32,-16.62
Affle India,542752,AFFLE,Computers - Software - Medium / Small,1412.65,66.63,38.53,21.2,55.14,0.07,87.49,40.25,506.22,42.27,21.45,16.25,19.53,297.26,1842.81,52.78,49.18,21.53,30.16,43.52,,,21.17,18.56,15,32.58,16.1,,11.24,28.51,1433.96,,288.07,297.26,,191.21,146.66,168.13,15.7,448.23,21.45,29.23,0,728.56,902.2,991.86,7.87,6.69
Agarwal Indl.,531921,AGARIND,Petrochemicals,1181.3,16.16,21.26,73.02,57.2,0.71,38.01,34.31,776.44,17.72,22.13,20.63,8.13,109.22,2125.3,32.97,31.94,20.13,39.48,52.03,42.94,35.85,24.02,25.17,23.88,91.43,54.12,58.46,11.68,5.47,2015.01,32.46,135.64,109.22,27.9,65.78,-157.72,9.44,-17.07,-148.28,22.13,20.65,0.21,333.63,432.57,470.6,3.45,23.53
AGI Greenpac,500187,AGI,Packaging,883.55,22.78,27.95,38.85,60.24,0.34,64.58,-32.62,624.87,-8.15,13.8,17.91,23.3,251.33,2420.88,24.32,8.57,-3.93,42.09,83.32,13.29,16.17,11.95,15.58,14.69,41.5,53.95,65.85,7.76,6.11,2281.48,2.25,461.61,251.33,3.55,167.82,320.22,243.46,190.41,283.11,13.8,11.3,0.68,1291.67,1747.19,2054.54,3.15,1.63
Agio Paper,516020,,Paper,4.75,,9.93,-0.67,63.56,4.55,-0.18,45.45,0.18,,-2.17,-0.43,-30,-1.08,0.3,,,23.94,3.69,7.21,4.2,6.13,,,,46.6,24.36,13.7,-4.53,,0,,-0.52,-1.08,,-1.32,-0.14,-0.52,-0.04,-1.18,-2.17,-2.68,0,-1.18,-2.33,-3.89,2.54,12.56
Agro Tech Foods.,500215,ATFL,Food - Processing - Indian,837.7,241.32,39.71,4.27,51.77,0.08,1.48,-102.39,178.41,-11.67,4.72,2.66,4.5,8.46,759.67,-5.23,-1.6,-45.24,-35.16,-23.65,-14.3,-14.95,4.91,3.3,1.72,-1.91,-4.11,11.1,1.32,-10.6,849.71,-0.82,45.86,10.41,-0.06,21.9,25.71,-18.88,1.31,-52.95,4.72,6.81,0.36,55.26,160.51,252.17,4.08,-3.23
Ahluwalia Contr.,532811,AHLUCONT,Construction,1423.7,41.09,37.63,55.96,55.32,0.07,199.8,-19.82,1163.66,34.83,24.48,23.91,10.06,232.13,3855.3,24.83,17.05,20.32,44.3,14.64,15.24,55.49,14.13,16.58,16.41,108.49,55.61,34.02,8.16,35.83,2838.39,15.26,303.99,374.83,14.91,144.47,144.63,197.91,119.51,381.39,24.48,20.97,0.03,624.51,993.22,1159.93,5.96,68.91
Ahm. Steelcraft,522273,,Trading,118.4,,34.42,-5.6,67.89,0,-1.25,-1350,0.02,-96.61,-5.01,-10.69,-609.09,-2.29,0.77,-26.51,-40.46,-275.41,,,,,-3.69,-4.68,-9.53,519.9,93.67,57.54,-9.28,-65.16,2.21,-21.44,-1.19,-2.29,-23.91,-0.93,4.62,-1.88,-0.02,1.73,-5.01,-3.8,0,-3.38,-5.72,-10.34,2.1,263.64
AI Champ.Inds.,532806,,Textiles - Jute - Yarn / Products,54.55,,17.7,-12.86,58.9,1.01,-41.06,-297.36,9.17,-44.59,-22.32,-36.38,-100.86,-39.55,44.27,-12.62,-19.61,-2.38,,,,,-27.89,-40.16,-66.45,83.86,52.44,31.87,-15.38,-9.12,48.71,-11.67,-41.66,-39.58,-18.33,-19.8,-29.2,52.96,-0.18,27.07,-22.32,-14.24,0,-42.47,-52.56,-22.7,4.09,0.74
AIA Engineering,532683,AIAENG,Castings & Forgings,4407.3,36.63,34.67,120.39,58.47,0.07,260.48,-2.68,1150.22,-9.69,21.64,22.75,27.48,1135.57,4853.76,18.98,9.6,8.41,28.12,18.81,14.06,12.8,16.63,17.62,18.39,38.14,28.57,20.03,16.1,-1.12,4908.77,11.64,1245.38,1136.99,8.85,780.84,693.17,675.34,50.77,1203.97,21.64,20.09,0.36,1731.22,3008.81,3492.69,6.24,18.6
Aimco Pesticides,524288,,Pesticides / Agrochemicals - Indian,103.85,,42.15,-10.49,53.5,0.53,-3.83,19.37,36.74,-11.62,3.83,-18.79,-3.61,-10.05,207.41,5.69,1.01,-329.49,,,,,3.33,-1.28,-24.72,-7.98,-4.58,-1.59,-6.81,0.59,206.19,11.22,2.1,-10.05,4.03,1.41,0.15,-17.45,-2.91,0.36,3.83,10.74,0.96,18.56,29.6,38.72,2.84,-17.71
